排名,名称,跑分,规格,上市时间,详情页
1,Xiaomi BE10000,42240,IPQ9570 4C @ 2.2 GHz 2GiB  - 2022.12,2022.12,https://www.topcpu.net/cpu/xiaomi-be10000
2,TP-LINK Archer BE800,42240,IPQ9574 4C @ 2.2 GHz 2GiB  - 2023.01,2023.01,https://www.topcpu.net/cpu/tplink-archer-be800
3,TP-LINK TL-7TR13090,42240,IPQ9570 4C @ 2.2 GHz 2GiB  - 2024.07,2024.07,https://www.topcpu.net/cpu/tplink-tl-7tr13090
4,H3C Magic BE18000,42240,IPQ9574 4C @ 2.2 GHz 1GiB  - 2022.07,2022.07,https://www.topcpu.net/cpu/h3c-magic-be18000
5,TP-LINK Archer BE805,34560,MT7988AV 4C @ 1.8 GHz 1GiB  - 2024.02,2024.02,https://www.topcpu.net/cpu/tplink-archer-be805
6,TP-LINK TL-7DR7299,34560,MT7988AV 4C @ 1.8 GHz 1GiB  - 2026.03,2026.03,https://www.topcpu.net/cpu/tplink-tl-7dr7299
7,Xiaomi BE7000,28800,IPQ9554 4C @ 1.5 GHz 1GiB  - 2023.02,2023.02,https://www.topcpu.net/cpu/xiaomi-be7000
8,TP-LINK TL-7DR7280,28800,IPQ9554 4C @ 1.5 GHz 2GiB  - 2024.05,2024.05,https://www.topcpu.net/cpu/tplink-tl-7dr7280
9,TP-LINK TL-7DR7230,25920,MT7988DV 3C @ 1.8 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-tl-7dr7230
10,TP-LINK TL-7DR7260,25920,MT7988DV 3C @ 1.8 GHz 512MiB,,https://www.topcpu.net/cpu/tplink-tl-7dr7260
11,TP-LINK TL-7DR7250,25920,MT7988DV 3C @ 1.8 GHz 512MiB  - 2024.09,2024.09,https://www.topcpu.net/cpu/tplink-tl-7dr7250
12,Ruijie BE72 PRO,25920,MT7988DV 3C @ 1.8 GHz 1024MiB  - 2024.10,2024.10,https://www.topcpu.net/cpu/ruijie-be72-pro
13,Ruijie BE68 Ultra,25920,MT7988DV 3C @ 1.8 GHz 1024MiB  - 2024.10,2024.10,https://www.topcpu.net/cpu/ruijie-be68-ultra
14,ASUS RT-BE14000,25920,MT7988DV 3C @ 1.8 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-be14000
15,ROG Rapture GT BE98,23920,BCM4916 4C @ 2.6 GHz 2GiB  - 2023.01,2023.01,https://www.topcpu.net/cpu/rog-rapture-gt-be98
16,ROG Rapture GT BE98 Pro,23920,BCM4916 4C @ 2.6 GHz 2GiB  - 2023.12,2023.12,https://www.topcpu.net/cpu/rog-rapture-gt-be98-pro
17,ASUS RT-BE96U,23920,BCM4916 4C @ 2.6 GHz 2GiB  - 2023.08,2023.08,https://www.topcpu.net/cpu/asus-rt-be96u
18,ASUS RT-BE88U,23920,BCM4916 4C @ 2.6 GHz 2GiB  - 2024.05,2024.05,https://www.topcpu.net/cpu/asus-rt-be88u
19,Netgear Nighthawk RS700S,23920,BCM4916 4C @ 2.6 GHz 2GiB  - 2023.06,2023.06,https://www.topcpu.net/cpu/netgear-nighthawk-rs700s
20,ASUS RT-BE86U,23920,BCM4916 4C @ 2.6 GHz 1GiB,,https://www.topcpu.net/cpu/asus-rt-be86u
21,ASUS ROG Rapture GT BE19000,23920,BCM4916 4C @ 2.6 GHz 2GiB  - 2024.01,2024.01,https://www.topcpu.net/cpu/rog-rapture-gt-be19000
22,Xiaomi BE10000 Pro,19440,IPQ5424 4C @ 1.8 GHz 2GiB  - 2025.09,2025.09,https://www.topcpu.net/cpu/xiaomi-be10000-pro
23,Xiaomi BE7200 Pro,19440,IPQ5424 4C @ 1.8 GHz 1GiB  - 2026.05,2026.05,https://www.topcpu.net/cpu/xiaomi-be7200-pro
