排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
1,Apple M5 Max (40-core GPU),4355,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
2,Apple M5 Pro (18-Core),4290,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-18-core
3,Apple M5 Pro (15-Core),4283,15,15,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-15-core
4,Apple M5 Max (32-core GPU),4282,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
5,Apple M5 (8-core GPU),4251,10,10,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-8-core-gpu
6,Apple M5 (10-Core),4186,10,10,4.6GHz,2025.10,https://www.topcpu.net/cpu/apple-m5-10-core
7,Apple M4 Ultra,4061,32,32,4.52GHz,2025.05,https://www.topcpu.net/cpu/apple-m4-ultra
8,Qualcomm Snapdragon X2 Elite Extreme (X2E 96 100),4003,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-96-100
9,Apple M4 Max 14 Core,3997,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-14-core
10,Qualcomm Snapdragon X2 Elite (X2E 90 100),3995,18,18,3.4GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-90-100
11,Apple M4 Max 16 Core,3984,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
12,Apple M4 Pro 14 Core,3896,14,14,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-14-core
13,Apple M4 Pro 12 Core,3863,12,12,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-12-core
14,Apple M4 10 Core,3848,10,10,4.41GHz,2024.05,https://www.topcpu.net/cpu/apple-m4-10-core
15,Qualcomm Snapdragon X2 Elite X2E-88-100,3836,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-88-100
16,Intel Core Ultra 7 270K Plus,3751,24,24,3.7GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-7-270k-plus
17,Qualcomm Snapdragon X2 Elite Extreme (X2E-94-100),3740,18,18,3.6GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-extreme-x2e-94-100
18,Apple M4 8 Core,3674,8,8,4.41GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-8-core
19,Qualcomm Snapdragon X2 Elite (X2E 84 100),3633,12,12,3.4GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-84-100
20,Apple A18 Pro (MacBook),3602,6,6,2GHz,2024.09,https://www.topcpu.net/cpu/apple-a18-pro-macbook
21,AMD Ryzen 7 9850X3D,3581,8,16,4.7GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-9850x3d
22,AMD Ryzen 9 9950X3D2,3551,16,32,4.3GHz,2026.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d2
23,Intel Core Ultra 9 290K Plus,3539,24,24,3.7GHz,0001.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290k-plus
24,AMD Ryzen 9 9950X3D,3472,16,32,4.3GHz,2025.03,https://www.topcpu.net/cpu/amd-ryzen-9-9950x3d
25,Intel Core i9 14900KS,3444,24,32,3.2GHz,2024.03,https://www.topcpu.net/cpu/intel-core-i9-14900ks
26,AMD EPYC 4345P,3435,8,16,3.8GHz,2025.05,https://www.topcpu.net/cpu/epyc-4345p
27,AMD Ryzen 9 9950X,3419,16,32,4.3GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9950x
28,AMD EPYC 4585PX,3413,16,32,4.3GHz,2025.05,https://www.topcpu.net/cpu/epyc-4585px
29,AMD EPYC 4565P,3408,16,32,4.3GHz,2025.05,https://www.topcpu.net/cpu/epyc-4565p
30,Intel Core Ultra 9 285K,3380,24,24,3.7GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-9-285k
31,AMD Ryzen Threadripper PRO 9985WX,3351,64,128,3.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9985wx
32,AMD Ryzen 9 9900X3D,3349,12,24,4.4GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9900x3d
33,AMD EPYC 4245P,3347,6,12,3.9GHz,2025.05,https://www.topcpu.net/cpu/epyc-4245p
34,AMD Ryzen 9 9900X,3342,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
35,AMD Ryzen 7 9700F,3338,8,16,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-7-9700f
36,AMD Ryzen Threadripper 7960X,3337,24,48,4.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7960x
37,AMD Ryzen 7 9700X,3333,8,16,3.8GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-7-9700x
38,AMD Ryzen 5 9600X,3331,6,12,3.9GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-5-9600x
39,AMD Ryzen 7 9800X3D,3316,8,16,4.7GHz,2024.11,https://www.topcpu.net/cpu/amd-ryzen-7-9800x3d
40,AMD EPYC 4545P,3300,16,32,3GHz,2025.05,https://www.topcpu.net/cpu/epyc-4545p
41,AMD Ryzen Threadripper PRO 9945WX,3298,12,24,4.7GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9945wx
42,AMD Ryzen Threadripper 9980X,3297,64,128,3.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9980x
43,Intel Core i9 13900KS,3294,24,32,3.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900ks
44,AMD Ryzen 5 Pro 9645,3285,6,12,3.9GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-5-pro-9645
45,AMD Ryzen 9 Pro 9945,3284,12,24,3.4GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-9-pro-9945
46,Intel Core i9 14900F,3279,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900f
47,Qualcomm Snapdragon X2 Plus (X2P 64 100),3278,10,10,3.4GHz,2026.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-plus-x2p-64-100
48,AMD Ryzen 9 9955HX,3274,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx
49,AMD EPYC 4465P,3268,12,24,3.4GHz,2025.05,https://www.topcpu.net/cpu/epyc-4465p
50,Apple M3 Ultra,3247,32,32,4.05GHz,2025.03,https://www.topcpu.net/cpu/apple-m3-ultra
51,AMD Ryzen 5 9600,3240,6,12,3.8GHz,2025.02,https://www.topcpu.net/cpu/amd-ryzen-5-9600
52,Qualcomm Snapdragon X2 Plus (X2P 42 100),3239,6,6,3.4GHz,2026.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-plus-x2p-42-100
53,Intel Core Ultra 5 250K Plus,3231,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250k-plus
54,Apple M3 Max,3227,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
55,AMD Ryzen Threadripper PRO 9975WX,3225,32,64,4GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9975wx
56,AMD Ryzen 7 Pro 9745,3225,8,16,3.8GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-pro-9745
57,Intel Core Ultra 5 250KF Plus,3219,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250kf-plus
58,Intel Core Ultra 7 265KF,3208,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265kf
59,Intel Core Ultra 9 290HX Plus,3196,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
60,Intel Core Ultra 9 285,3194,24,24,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-9-285
61,Intel Core Ultra 9 285T,3187,24,24,1.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285t
62,AMD Ryzen 9 9955HX3D,3178,16,32,2.5GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9955hx3d
63,Intel Core i9 14900KF,3176,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900kf
64,AMD Ryzen Threadripper PRO 9965WX,3175,24,48,4.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9965wx
65,Intel Core i9 14900K,3169,24,32,3.2GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i9-14900k
66,Apple M3 Pro,3160,12,12,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-pro
67,Intel Core Ultra 7 265K,3155,20,20,3.9GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-7-265k
68,Intel Core Ultra 7 265T,3147,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265t
69,Intel Xeon 696X,3141,64,128,2.4GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-696x
70,AMD Ryzen 9 9850HX,3132,12,24,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9850hx
71,Intel Core Ultra 7 265HX,3126,20,20,2.6GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-265hx
72,Intel Core Ultra 9 285HX,3126,24,24,2.8GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285hx
73,AMD Ryzen Threadripper 9970X,3126,32,64,4GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9970x
74,Intel Core 9 273PQE,3126,12,24,3.4GHz,2026.03,https://www.topcpu.net/cpu/intel-core-9-273pqe
75,Intel Core i7 13700KF,3102,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
76,Intel Core Ultra 7 255HX,3102,20,20,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255hx
77,Intel Xeon 658X,3096,24,48,3GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-658x
78,AMD Ryzen AI Max+ Pro 395,3093,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-395
79,Intel Core i9 13900KF,3074,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900kf
80,Intel Core Ultra 9 285H,3073,16,16,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285h
81,AMD Ryzen Threadripper 9960X,3071,24,48,4.2GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-9960x
82,Intel Core Ultra 5 235HX,3069,14,14,2.9GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235hx
83,AMD Ryzen 9 7950X,3068,16,32,4.5GHz,2022.08,https://www.topcpu.net/cpu/amd-ryzen-9-7950x
84,AMD Ryzen Threadripper PRO 9955WX,3054,16,32,4.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9955wx
85,AMD Ryzen 5 9500F,3051,6,12,3.8GHz,2025.09,https://www.topcpu.net/cpu/amd-ryzen-5-9500f
86,AMD Ryzen AI Max+ 395,3042,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-395
87,Intel Core i7 14700KF,3041,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700kf
88,Intel Core i9 13900K,3034,24,32,3.0GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i9-13900k
89,Intel Core Ultra 7 265F,3032,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265f
90,AMD Ryzen Embedded 7700X,3031,8,16,4.5GHz,2023.11,https://www.topcpu.net/cpu/amd-ryzen-embedded-7700x
91,AMD EPYC 9375F,3028,32,64,3.85GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9375f
92,Intel Core i9 14900HX,3026,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
93,Intel Core Ultra X9 388H,3026,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x9-388h
94,Intel Core i7 14700K,3019,20,28,3.4GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i7-14700k
95,Intel Core i9 14900T,3019,24,32,1.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900t
96,Intel Core i9-14901KE,3018,8,16,3.8GHz,2024.07,https://www.topcpu.net/cpu/intel-core-i9-14901ke
97,Intel Core Ultra 5 245HX,3014,14,14,3.1GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-245hx
98,Apple M3,3009,8,8,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3
99,Intel Core i9 13900,3006,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
100,AMD Ryzen 9 7950X3D,3001,16,32,4.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7950x3d
101,Intel Xeon 6353P,2998,8,16,2.7GHz,2025.02,https://www.topcpu.net/cpu/xeon-6353p
102,AMD Ryzen 5 7600,2995,6,12,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7600
103,Intel Core Ultra 7 270HX Plus,2995,20,20,2.4GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-270hx-plus
104,AMD EPYC 4364P,2992,8,16,4.5GHz,2024.05,https://www.topcpu.net/cpu/epyc-4364p
105,Intel Core Ultra 7 265,2991,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265
106,AMD Ryzen AI 9 HX 370,2987,12,24,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-370
107,Intel Core Ultra X7 368H,2987,16,16,20GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-368h
108,Intel Xeon 678X,2986,48,96,2.4GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-678x
109,Intel Core Ultra 5 245K,2982,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
110,Intel Core Ultra 5 225T,2982,10,10,2.5GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-225t
111,Qualcomm Snapdragon X Elite,2980,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite
112,AMD EPYC 4564P,2975,16,32,4.5GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4564p
113,AMD EPYC 9175F,2974,16,32,4.2GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9175f
114,AMD Ryzen 9 7900X3D,2971,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
115,Intel Core Ultra 7 251HX,2970,18,18,,2026.04,https://www.topcpu.net/cpu/intel-core-ultra-7-251hx
116,Intel Core Ultra 5 235,2968,14,14,3.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-235
117,Intel Core Ultra 9 275HX,2959,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
118,Intel Core i9 14900,2958,24,32,2.0GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900
119,AMD Ryzen 9 7900,2946,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
120,Intel Xeon 698X,2944,86,172,2GHz,2026.02,https://www.topcpu.net/cpu/intel-xeon-698x
121,Intel Core i7 13700K,2943,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
122,AMD Ryzen 9 7900X,2942,12,24,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-9-7900x
123,AMD Ryzen Threadripper 7970X,2942,32,64,4GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7970x
124,Intel Core Ultra 5 245KF,2942,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245kf
125,AMD Ryzen AI 9 365,2940,10,20,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-365
126,AMD EPYC 9275F,2933,24,48,4.1GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9275f
127,AMD EPYC 4364P,2933,8,16,4.5GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4364p
128,AMD EPYC 4464P,2918,12,24,3.7GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4464p
129,AMD Ryzen AI Max+ 392,2917,12,24,3.2GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-plus-392
130,Intel Core Ultra X7 358H,2914,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-358h
131,AMD Ryzen AI Max 390,2909,12,24,3.2GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-390
132,Intel Xeon E-2488,2908,8,16,3.2GHz,2023.12,https://www.topcpu.net/cpu/xeon-e-2488
133,AMD Ryzen 9 7945HX,2906,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
134,Intel Core 7 251TE,2906,24,32,1.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-7-251te
135,AMD EPYC 4464P,2905,12,24,3.7GHz,2024.05,https://www.topcpu.net/cpu/epyc-4464p
136,AMD Ryzen Embedded 7600X,2901,6,12,4.7GHz,2023.11,https://www.topcpu.net/cpu/amd-ryzen-embedded-7600x
137,AMD Ryzen 9 PRO 7945,2892,12,24,3.7GHz,2023.06,https://www.topcpu.net/cpu/amd-ryzen-9-pro-7945
138,AMD Ryzen AI Max 385,2892,8,16,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-385
139,Intel Core Ultra 9 386H,2890,16,16,2.1GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-386h
140,AMD Ryzen AI 7 450,2889,8,16,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-450
141,AMD Ryzen AI 9 HX 475,2888,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-475
142,AMD Ryzen AI 9 HX 470,2880,12,24,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-470
143,Qualcomm Snapdragon X Elite (X1E-84-100),2879,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-84-100
144,AMD Ryzen AI 9 HX 375,2879,12,24,2.0GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-375
145,Intel Core i7 14700,2866,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700
146,Intel Core Ultra 9 288V,2863,8,8,3.3GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-9-288v
147,AMD EPYC 4584PX,2862,12,24,3.7GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4584px
148,AMD EPYC 9555,2857,64,128,3.2GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9555
149,AMD Ryzen AI 9 465,2852,10,20,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-9-465
150,AMD EPYC 4124P,2849,4,8,3.8GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4124p
151,Intel Core i7 14790F,2848,16,24,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14790f
152,Intel Core Ultra 5 225F,2847,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225f
153,Intel Core i9 13900HK,2841,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
154,AMD EPYC 4244P,2837,6,12,3.8GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4244p
155,AMD EPYC 9655,2837,96,192,2.6GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9655
156,AMD Ryzen AI Max Pro 390,2831,12,24,3.2GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-390
157,AMD EPYC 9655P,2831,96,192,2.6GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9655p
158,AMD Ryzen Embedded 7745,2831,8,16,3.8GHz,2023.11,https://www.topcpu.net/cpu/amd-ryzen-embedded-7745
159,Intel Core i5 14600T,2830,14,20,1.8GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14600t
160,AMD Ryzen 7 7700,2829,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7700
161,AMD Ryzen Threadripper 7980X,2828,64,128,3.2GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7980x
162,Intel Core i9 13900HX,2826,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hx
163,AMD Ryzen 7 7700X,2824,8,16,4.5GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-7-7700x
164,AMD Ryzen AI 7 350,2824,8,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-350
165,Intel Core Ultra 7 255H,2823,16,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255h
166,Intel Core Ultra 5 245,2821,14,14,3.5GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-245
167,Intel Core i7 13790F,2815,16,24,2.1GHz,2023.02,https://www.topcpu.net/cpu/intel-core-i7-13790f
168,Intel Core Ultra 7 266V,2810,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-266v
169,AMD Ryzen 9 7945HX3D,2800,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
170,AMD Ryzen Threadripper PRO 9995WX,2800,96,192,2.5GHz,2025.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-9995wx
171,AMD EPYC 9575F,2798,64,128,3.3GHz,2024.10,https://www.topcpu.net/cpu/amd-epyc-9575f
172,AMD Ryzen 7 7745HX,2792,8,16,3.6GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7745hx
173,AMD Ryzen AI Max Pro 380,2791,6,12,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-380
174,Intel Core Ultra 5 225,2791,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225
175,Intel Core i7 12700KF,2790,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
176,Apple M2 Ultra,2790,24,24,3.5GHz,2023.05,https://www.topcpu.net/cpu/apple-m2-ultra
177,Qualcomm Snapdragon X Elite (X1E-80-100),2790,12,12,3.4GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-80-100
178,Intel Xeon 6357P,2784,8,16,3GHz,2025.02,https://www.topcpu.net/cpu/xeon-6357p
179,Intel Core i5 14600,2783,14,20,2.7GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14600
180,AMD Ryzen 5 PRO 7645,2782,6,12,3.8GHz,2023.06,https://www.topcpu.net/cpu/ryzen-5-pro-7645
181,AMD Ryzen Threadripper PRO 7995WX,2780,96,192,2.5GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-7995wx
182,Intel Core i5 14600K,2772,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
183,AMD Threadripper PRO 7965WX,2770,24,48,4.2GHz,2023.10,https://www.topcpu.net/cpu/amd-threadripper-pro-7965wx
184,Intel Core Ultra 5 245T,2770,14,14,2.2GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-245t
185,Intel Core 7 250H,2768,14,20,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-7-250h
186,AMD Ryzen 9 8945HX,2766,16,32,2.5GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8945hx
187,AMD Ryzen 5 7500F,2764,6,12,3.7GHz,2023.07,https://www.topcpu.net/cpu/amd-ryzen-5-7500f
188,Intel Core Ultra 7 366H,2760,16,16,2.0GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-366h
189,AMD Ryzen 5 7600X,2759,6,12,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x
190,AMD Ryzen AI 5 440,2759,6,12,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-5-440
191,AMD Ryzen AI 7 445,2757,6,12,2.0GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-445
192,Intel Core i9 13950HX,2753,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13950hx
193,AMD Ryzen Z2 Extreme,2753,8,16,2.0GHz,2025.06,https://www.topcpu.net/cpu/amd-ryzen-z2-extreme
194,Intel Core Ultra 5 336H,2753,12,12,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-336h
195,AMD Ryzen Threadripper PRO 7945WX,2750,12,24,4.7GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-7945wx
196,Intel Core i9 13900F,2748,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900f
197,Intel Core i5 14600KF,2748,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600kf
198,Intel Core Ultra 5 235H,2748,14,14,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235h
199,AMD Ryzen 7 8700F,2745,8,16,4.1GHz,2024.05,https://www.topcpu.net/cpu/amd-ryzen-7-8700f
200,Intel Core Ultra 7 258V,2745,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-258v
201,AMD EPYC 4484PX,2745,12,24,4.4GHz,2024.05,https://www.topcpu.net/cpu/amd-epyc-4484px
202,Intel Xeon E-2486,2745,6,12,3.5GHz,2023.12,https://www.topcpu.net/cpu/xeon-e-2486
203,Intel Core Ultra 5 338H,2743,12,12,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-338h
204,Intel Core i7 14700HX,2738,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700hx
205,Intel Core Ultra 7 356H,2738,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-356h
206,Intel Core Ultra 7 365,2738,8,8,2.3GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-365
207,AMD Ryzen 7 8700G,2737,8,16,4.3GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-7-8700g
208,AMD Ryzen 7 PRO 7745,2733,8,16,3.8GHz,2023.06,https://www.topcpu.net/cpu/ryzen-7-pro-7745
209,Intel Core i9 12900,2727,16,24,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900
210,AMD Ryzen AI 5 PRO 340,2726,6,12,2GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-5-pro-340
211,AMD Ryzen 5 8600G,2725,6,12,4.3GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8600g
212,Intel Core i7 14700F,2724,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700f
213,AMD Ryzen 5 7645HX,2720,6,12,4.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7645hx
